物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
プェネリジェール西五条2,阪急京都線,西院駅,10,京都府京都市中京区壬生東高田町,33,7.5,2,DK,45.1,,,15
アール四条大宮,阪急京都線,大宮駅,4,京都府京都市中京区壬生賀陽御所町,27,5,1,K,22.9,7000,,
ヴィラ板橋,ＪＲ山陰本線,円町駅,3,京都府京都市中京区西ノ京中御門東町,17,4.9,1,R,26.46,5000,5,10
阪急京都線 烏丸駅 5階建 築30年,阪急京都線,烏丸駅,4,京都府京都市中京区炭之座町,30,4.1,1,K,18,4000,,
阪急京都線 烏丸駅 5階建 築30年,阪急京都線,烏丸駅,4,京都府京都市中京区炭之座町,30,4.6,1,K,23.45,4000,,
ライオンズマンション京都西洞院,地下鉄烏丸線,丸太町駅,8,京都府京都市中京区田中町,36,6.5,1,R,31.56,,6.5,6.5
ディクティ三条,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区三文字町,23,5.8,1,K,29.57,6000,5,5
ディクティ三条,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区三文字町,23,6,1,K,26.39,6000,5,5
ディクティ三条,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区三文字町,23,6.1,1,K,26.23,6000,5,5
ＪＲ山陰本線 二条駅 2階建 築46年,ＪＲ山陰本線,二条駅,10,京都府京都市中京区壬生神明町,46,11,4,DK,58.65,,,20
ＪＲ山陰本線 丹波口駅 4階建 築32年,ＪＲ山陰本線,丹波口駅,7,京都府京都市中京区壬生松原町,32,5,1,K,18,4000,,5.5
Ｋ・ＷＡＲＰ,ＪＲ山陰本線,丹波口駅,7,京都府京都市中京区壬生松原町,32,5,1,K,18,4000,,5.5
ＪＲ山陰本線 丹波口駅 4階建 築30年,ＪＲ山陰本線,丹波口駅,7,京都府京都市中京区壬生相合町,30,4.2,1,K,22.3,3000,,
ＪＲ山陰本線 丹波口駅 4階建 築30年,ＪＲ山陰本線,丹波口駅,7,京都府京都市中京区壬生相合町,30,4.5,1,K,22.7,3000,,
メゾンＴＭ,ＪＲ山陰本線,円町駅,7,京都府京都市中京区西ノ京御輿岡町,27,3.8,1,K,18.25,3000,,3.8
メゾンＴＭ,ＪＲ山陰本線,円町駅,7,京都府京都市中京区西ノ京御輿岡町,27,4,1,K,18.25,3000,,
メゾンＴＭ,ＪＲ山陰本線,円町駅,7,京都府京都市中京区西ノ京御輿岡町,27,4,1,R,18.25,3000,,4
メゾンＴＭ,ＪＲ山陰本線,円町駅,7,京都府京都市中京区西ノ京御輿岡町,27,4,1,R,18.25,3000,,4
メゾンＴＭ,ＪＲ山陰本線,円町駅,7,京都府京都市中京区西ノ京御輿岡町,27,4.2,1,R,18.25,3000,,
メゾンサクラ草,阪急京都線,大宮駅,7,京都府京都市中京区壬生相合町,27,4,1,K,19.89,3000,,5
阪急京都線 西院駅 地下1地上3階建 築16年,阪急京都線,西院駅,5,京都府京都市中京区壬生土居ノ内町,16,6.45,1,R,25.2,6450,,6.45
刀珠堂,地下鉄烏丸線,丸太町駅,3,京都府京都市中京区鏡屋町,7,16.9,2,LDK,62.5,6000,6,32
地下鉄烏丸線 丸太町駅 3階建 築7年,地下鉄烏丸線,丸太町駅,3,京都府京都市中京区鏡屋町,7,16.9,2,LDK,62.5,6000,6,32
ＣＡＬＭ姉小路通,地下鉄東西線,二条城前駅,5,京都府京都市中京区西堂町,0,9.9,1,K,32.89,8000,9.9,19.8
ＣＡＬＭ姉小路通,地下鉄東西線,二条城前駅,5,京都府京都市中京区西堂町,0,9.9,1,R,30.97,8000,9.9,19.8
ＣＡＬＭ姉小路通,地下鉄東西線,二条城前駅,5,京都府京都市中京区西堂町,0,10,1,R,30.97,8000,10,20
ＣＡＬＭ姉小路通,地下鉄東西線,二条城前駅,5,京都府京都市中京区西堂町,0,10.1,1,R,32.89,8000,10.1,20.2
ＣＡＬＭ姉小路通,地下鉄東西線,二条城前駅,5,京都府京都市中京区西堂町,0,10.1,1,R,30.97,8000,10.1,20.2
ＣＡＬＭ姉小路通,地下鉄東西線,二条城前駅,5,京都府京都市中京区西堂町,0,10.2,1,R,32.89,8000,10.2,20.4
ＣＡＬＭ姉小路通,地下鉄東西線,二条城前駅,5,京都府京都市中京区西堂町,0,10.3,1,R,32.89,8000,10.3,20.6
地下鉄烏丸線 丸太町駅 7階建 築51年,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区高田町,51,4.8,1,DK,28,7000,5,
地下鉄烏丸線 丸太町駅 7階建 築51年,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区高田町,51,4.8,1,DK,25,7000,5,
地下鉄烏丸線 丸太町駅 7階建 築51年,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区高田町,51,6,2,DK,36,7000,5,
地下鉄烏丸線 丸太町駅 7階建 築51年,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区高田町,51,6,2,DK,36,7000,5,
ｍｉｌｌｅｎｎｉａ　ＩＫＵ,ＪＲ山陰本線,二条駅,8,京都府京都市中京区壬生神明町,26,6.2,1,K,34,5000,10,10
たけうちビル,地下鉄東西線,京都市役所前駅,4,京都府京都市中京区丸屋町,32,11.5,1,LDK,42,,11.5,18
たけうちビル,地下鉄東西線,京都市役所前駅,4,京都府京都市中京区丸屋町,32,11.5,1,LDK,42,9000,11.5,18
地下鉄烏丸線 烏丸御池駅 4階建 築39年,地下鉄東西線,二条城前駅,6,京都府京都市中京区宗林町,39,6.5,2,K,41,,10,5
地下鉄烏丸線 烏丸御池駅 4階建 築39年,地下鉄東西線,二条城前駅,6,京都府京都市中京区宗林町,39,6.5,2,K,36.3,,10,5
地下鉄烏丸線 烏丸御池駅 4階建 築39年,地下鉄東西線,二条城前駅,6,京都府京都市中京区宗林町,39,6.5,2,K,36.3,,10,
地下鉄烏丸線 烏丸御池駅 4階建 築39年,地下鉄東西線,二条城前駅,6,京都府京都市中京区宗林町,39,6.5,2,K,41,,10,5
阪急京都線 烏丸駅 6階建 築34年,阪急京都線,烏丸駅,5,京都府京都市中京区藤本町,34,5,1,K,21.9,,,5
阪急京都線 烏丸駅 6階建 築34年,阪急京都線,烏丸駅,5,京都府京都市中京区藤本町,34,5,1,K,17.34,,,5
阪急京都線 烏丸駅 6階建 築34年,阪急京都線,烏丸駅,5,京都府京都市中京区藤本町,34,5.1,1,K,21.9,,,5.1
阪急京都線 烏丸駅 6階建 築34年,阪急京都線,烏丸駅,5,京都府京都市中京区藤本町,34,5.2,1,K,21.9,,,5.2
ＳＡＫＩＺＯ　ＶＩＬＬＡ　甘露町ビル,京阪鴨東線,神宮丸太町駅,8,京都府京都市中京区甘露町,35,6,1,DK,33.8,5000,6,6
ＳＡＫＩＺＯ　ＶＩＬＬＡ　甘露町ビル,京阪鴨東線,神宮丸太町駅,8,京都府京都市中京区甘露町,35,6,2,K,28.5,5000,6,6
ＳＡＫＩＺＯ　ＶＩＬＬＡ　甘露町ビル,京阪鴨東線,神宮丸太町駅,8,京都府京都市中京区甘露町,35,6,2,K,28.5,5000,6,6
阪急京都線 大宮駅 4階建 築35年,阪急京都線,大宮駅,6,京都府京都市中京区三条大宮町,35,3.5,1,K,23,5000,3.5,3.5
阪急京都線 大宮駅 4階建 築35年,阪急京都線,大宮駅,6,京都府京都市中京区三条大宮町,35,3.5,1,K,19.44,5000,3.5,3.5
阪急京都線 大宮駅 4階建 築35年,阪急京都線,大宮駅,6,京都府京都市中京区三条大宮町,35,3.5,1,K,20,5000,3.5,3.5
阪急京都線 大宮駅 4階建 築35年,阪急京都線,大宮駅,6,京都府京都市中京区三条大宮町,35,3.8,1,K,20,5000,3.8,3.8
阪急京都線 大宮駅 4階建 築35年,阪急京都線,大宮駅,6,京都府京都市中京区三条大宮町,35,3.8,1,K,19.6,5000,3.8,3.8
阪急京都線 大宮駅 4階建 築35年,阪急京都線,大宮駅,6,京都府京都市中京区三条大宮町,35,4,1,K,20,5000,4,4
阪急京都線 大宮駅 4階建 築35年,阪急京都線,大宮駅,6,京都府京都市中京区三条大宮町,35,4.3,1,K,20,5000,4.3,4.3
阪急京都線 大宮駅 6階建 築11年,阪急京都線,大宮駅,1,京都府京都市中京区壬生賀陽御所町,11,12.7,1,SLDK,49.27,10000,,18
レジデンス西ノ京,ＪＲ山陰本線,円町駅,7,京都府京都市中京区西ノ京左馬寮町,36,3.4,1,DK,21.06,3000,,5
レジデンス西ノ京,ＪＲ山陰本線,円町駅,7,京都府京都市中京区西ノ京左馬寮町,36,3.6,1,DK,21.06,3000,,
阪急京都線 大宮駅 5階建 築25年,地下鉄東西線,二条城前駅,6,京都府京都市中京区橋西町,25,4.1,1,K,24,6000,,
阪急京都線 大宮駅 5階建 築25年,地下鉄東西線,二条城前駅,6,京都府京都市中京区橋西町,25,4.4,1,K,24,6000,,15
阪急京都線 大宮駅 5階建 築25年,地下鉄東西線,二条城前駅,6,京都府京都市中京区橋西町,25,4.9,1,K,24,6000,5,15
