物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
サーライシカワ,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区大東町,42,3.4,1,K,20,,,
サーライシカワ,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区大東町,42,3.4,1,K,19.42,3500,,
サーライシカワ,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区大東町,42,3.5,1,K,20,3500,,
ＪＲ山陰本線 円町駅 3階建 築42年,京福電鉄北野線,円町駅,10.0,京都府京都市上京区仲之町,42,3.2,1,R,16,4000,,
衣棚６６番館,京福電鉄北野線,丸太町駅,8.0,京都府京都市上京区御霊町,36,2.8,1,R,19.34,3000,,
衣棚６６番館,京福電鉄北野線,丸太町駅,8.0,京都府京都市上京区御霊町,36,3.2,1,R,19.34,3000,,
衣棚６６番館,京福電鉄北野線,丸太町駅,8.0,京都府京都市上京区御霊町,36,3.2,1,R,19.34,3000,,
衣棚６６番館,京福電鉄北野線,丸太町駅,8.0,京都府京都市上京区御霊町,36,3.5,1,R,19.34,3000,,
衣棚６６番館,京福電鉄北野線,丸太町駅,8.0,京都府京都市上京区御霊町,36,3.5,1,R,19.34,3000,,
地下鉄烏丸線 丸太町駅 3階建 築36年,京福電鉄北野線,丸太町駅,8.0,京都府京都市上京区御霊町,36,2.8,1,R,19.34,3000,,
地下鉄烏丸線 丸太町駅 3階建 築36年,京福電鉄北野線,丸太町駅,8.0,京都府京都市上京区御霊町,36,3.2,1,R,19.34,3000,,
地下鉄烏丸線 丸太町駅 3階建 築36年,京福電鉄北野線,丸太町駅,8.0,京都府京都市上京区御霊町,36,3.2,1,R,19.34,3000,,
地下鉄烏丸線 丸太町駅 3階建 築36年,京福電鉄北野線,丸太町駅,8.0,京都府京都市上京区御霊町,36,3.5,1,R,19.34,3000,,
地下鉄烏丸線 丸太町駅 3階建 築36年,地下鉄烏丸線,丸太町駅,8.0,京都府京都市上京区御霊町,36,3.5,1,R,19.34,3000,,
東楽ハイツ,地下鉄東西線,鞍馬口駅,7.0,京都府京都市上京区高徳寺町,50,2.9,1,R,16,4000,,
東楽ハイツ,京福電鉄北野線,鞍馬口駅,7.0,京都府京都市上京区高徳寺町,50,3.7,1,K,16.2,4000,,
東楽ハイツ,地下鉄東西線,鞍馬口駅,7.0,京都府京都市上京区高徳寺町,50,3.7,1,K,18,4000,,
東楽ハイツ,京福電鉄北野線,鞍馬口駅,7.0,京都府京都市上京区高徳寺町,50,3.7,1,K,18,4000,,
地下鉄烏丸線 鞍馬口駅 3階建 築50年,京福電鉄北野線,鞍馬口駅,7.0,京都府京都市上京区高徳寺町,50,2.9,1,R,16,4000,,
地下鉄烏丸線 鞍馬口駅 3階建 築50年,京福電鉄北野線,鞍馬口駅,7.0,京都府京都市上京区高徳寺町,50,3.7,1,K,18,4000,,
地下鉄烏丸線 鞍馬口駅 3階建 築50年,京福電鉄北野線,鞍馬口駅,7.0,京都府京都市上京区高徳寺町,50,3.7,1,K,16.2,4000,,
地下鉄烏丸線 鞍馬口駅 3階建 築50年,京福電鉄北野線,鞍馬口駅,7.0,京都府京都市上京区高徳寺町,50,3.7,1,K,14.76,4000,,
京福電鉄北野線 北野白梅町駅 6階建 築46年,京福電鉄北野線,北野白梅町駅,8.0,京都府京都市上京区東町,46,3.2,1,K,18.1,3000,,3.2
京福電鉄北野線 北野白梅町駅 6階建 築46年,京福電鉄北野線,北野白梅町駅,8.0,京都府京都市上京区東町,46,3.3,1,K,18.5,3000,,3.3
地下鉄烏丸線 今出川駅 3階建 築35年,京福電鉄北野線,今出川駅,5.0,京都府京都市上京区裏風呂町,35,3.7,1,R,20.93,5000,,5
地下鉄烏丸線 今出川駅 3階建 築35年,京福電鉄北野線,今出川駅,5.0,京都府京都市上京区裏風呂町,35,3.7,1,R,20.3,5000,,5
地下鉄烏丸線 今出川駅 3階建 築35年,京福電鉄北野線,今出川駅,5.0,京都府京都市上京区裏風呂町,35,3.7,1,R,20.74,5000,,5
地下鉄烏丸線 今出川駅 3階建 築35年,京福電鉄北野線,今出川駅,5.0,京都府京都市上京区裏風呂町,35,3.7,1,R,19.54,5000,,5
新町シャルム春奈,京福電鉄北野線,今出川駅,5.0,京都府京都市上京区裏風呂町,35,3.7,1,R,20.54,5000,,5
新町シャルム春奈,京福電鉄北野線,今出川駅,5.0,京都府京都市上京区裏風呂町,35,3.7,1,R,20.82,5000,,5
新町シャルム春奈,地下鉄烏丸線,今出川駅,5.0,京都府京都市上京区裏風呂町,35,3.7,1,R,20.74,5000,,5
新町シャルム春奈,地下鉄烏丸線,今出川駅,5.0,京都府京都市上京区裏風呂町,35,3.7,1,R,19.54,5000,,5
レジデンス西陣21,地下鉄烏丸線,丸太町駅,19.0,京都府京都市上京区藤五郎町,36,4.1,1,K,20,4000,,
地下鉄烏丸線 今出川駅 10階建 築41年,地下鉄烏丸線,今出川駅,15.0,京都府京都市上京区東橋詰町,41,3.4,1,K,16.89,5000,,
地下鉄烏丸線 今出川駅 10階建 築41年,京福電鉄北野線,今出川駅,15.0,京都府京都市上京区東橋詰町,41,3.6,1,K,15.95,5000,,
御所俵,京福電鉄北野線,神宮丸太町駅,3.0,京都府京都市上京区俵屋町,36,3.8,1,R,20,3000,,
御所俵,京福電鉄北野線,神宮丸太町駅,3.0,京都府京都市上京区俵屋町,36,3.8,1,R,20,3000,,
ハイムYOU,京福電鉄北野線,北野白梅町駅,15.0,京都府京都市上京区南辻町,27,5.2,1,K,33.12,4000,,
ハイツいちはら,京福電鉄北野線,鞍馬口駅,8.0,京都府京都市上京区古木町,37,3,1,R,17.01,6000,3,
グリーンハイツマリヤ,京福電鉄北野線,丸太町駅,4.0,京都府京都市上京区東立売町,42,3.5,1,K,15.2,,,3.5
シャトーやなぎ,京福電鉄北野線,鞍馬口駅,7.0,京都府京都市上京区毘沙門町,51,5.7,1,K,20.04,5000,,5.7
Ｒｏｙａｌｅ離宮御所東,京福電鉄北野線,神宮丸太町駅,6.0,京都府京都市上京区錦砂町,36,15.8,2,LDK,62.16,10000,15.8,31.6
